name;rating;min_price;rating.quality_of_sleep;rating.location;rating.service;rating.cleanness;rating.meal;lon;lat;id
Большой дом в центре Сармы;8;3500;5.9;8.3;6.6;7.6;0;106.83394;53.1014;625690_101hotels
Данко;8.7;7600;8.9;9.1;8.5;8.9;0;106.95145;53.17049;625382_101hotels
В Сарме на Веселой;8.4;500;8.3;7.9;7.4;8.5;0;107.03768;53.36066;625694_101hotels
Домик на Байкале;8.8;3680;8.3;8.9;7.4;9.3;0;106.96017;53.17944;625390_101hotels
Уединённый домик на Байкале в Сарме;7.5;3500;6.4;6.4;7.4;7.2;0;106.84309;53.09978;625698_101hotels
Ольтрек;6.2;2520;6.1;7.4;6.1;6.4;0;106.95834;53.17291;636780_101hotels
Байкал-Кантри;0;4600;0;0;0;0;0;106.96;53.18039046;654649_101hotels
Данко;0;5000;0;0;0;0;0;106.951;53.16992394;654651_101hotels
Имение Заречное;8.9;530;10;10;10;10;0;106.059;52.536318;87383_101hotels
Восточная ферма;8.9;2000;0;0;0;0;0;106.066834;52.547277;244949_101hotels
Куяда на Байкале;8.5;400;8.7;8.7;8.7;8.7;8.7;106.13457;52.557785;362290_101hotels
Baical-camp;8.1;3500;8.1;7.9;8.1;8.5;7.2;106.05802;52.537343;609283_101hotels
Дом на Байкале;0;1125;0;0;0;0;0;106.07435;52.55689;609311_101hotels
Зуун Хагун;7.8;2300;7.4;9.4;7.8;7.6;8.7;106.812;53.03337805;78755_101hotels
Звезда;7.6;0;9.1;8.1;9.1;8.1;7.8;106.81015;53.074066;78756_101hotels
Monte Sergio;9.8;2000;9.3;9.3;8.9;9.8;0;106.78081;53.052057;78757_101hotels
Байкал - Дар;9.6;6500;9.3;9.1;9.3;9.3;9.3;106.774;53.06751259;78758_101hotels
Турбаза Бриз;9.2;3000;9.1;9.6;8.9;9.3;10;106.78316;53.05321;489617_101hotels
На Байкале;0;0;0;0;0;0;0;106.79499;53.0672;559452_101hotels
Villa Peony;0;25000;0;0;0;0;0;106.82946;53.03789;608518_101hotels
С видом на Байкал;0;1692;0;0;0;0;0;106.80189;53.02896;608519_101hotels
Таловское;9.3;5450;9.1;9.1;8.9;9.3;9.3;106.009;52.73259292;64543_101hotels
Ласточка;9.1;8000;9.3;9.1;8.9;9.4;9.6;106.87;53.02007053;13176_101hotels
Лучший в МРС;9.7;3000;9.3;10;9.6;9.4;0;106.88;53.02010334;13177_101hotels
Азатей;7.4;3000;9.3;8.9;8.5;8.5;10;106.873;53.02307495;13178_101hotels
Байкальская Радуга;8.9;5400;9.4;8.9;8.7;8.9;0;106.85121;53.03013;13179_101hotels
Гэсэр;8.3;4000;10;10;9.6;9.6;10;106.86;53.0248405;13180_101hotels
Тогот;8.5;2150;0;10;10;10;0;106.78003;53.02848;13181_101hotels
Чайка;7.2;500;9.3;9.3;9.3;9.3;9.3;106.82;53.02732748;13182_101hotels
Байкал-Майами;7.6;1000;0;8.7;10;10;0;106.879;53.01358094;13183_101hotels
Баяр;9.6;8009.3;8.9;9.6;9.4;9.6;0;106.8497;53.03079;13184_101hotels
Чабрец;9.3;7000;9.3;9.3;9.4;9.4;9.6;106.825;53.02601847;13185_101hotels
Два Бегемота;8.7;1600;10;9.6;10;9.8;9.6;106.86;53.022365;13186_101hotels
Ковчег Байкала;8.2;1400;0;10;8.7;10;0;106.8799;53.021692;13187_101hotels
Наратэй;8.9;4800;9.6;8.7;8.7;8.9;10;106.84;53.02922816;17216_101hotels
Байкал Люкс Арена;9.1;3600;8.7;9.8;9.6;9.6;8.7;106.869794;53.022862;29817_101hotels
Дыхание Байкала;8.2;2200;9.3;9.3;9.3;9.3;9.3;106.8692;53.02268294;189085_101hotels
Тутайский прибой;8.2;0;9.6;9.6;9.3;9.6;9.3;106.90147;52.99429805;424517_101hotels
Мандархан View;8.5;3500;9.3;10;10;9.4;9.3;106.82489;53.03883;484786_101hotels
Базарка;8.3;2000;9.6;9.6;9.6;9.6;9.6;106.86334;53.02041;485124_101hotels
Гагарин Хаус;8.3;1600;10;10;10;10;10;106.8696;53.02259;490555_101hotels
Панорама;0;6000;0;0;0;0;0;106.88205;53.02046;490557_101hotels
Сохтор;8.9;800;9.8;10;10;10;10;106.77041;53.02111;490558_101hotels
Золотой берег;7.6;800;8.7;8.7;8.7;8.7;8.7;106.86952;53.02212;496550_101hotels
Villa Baikal Prestige;0;0;0;0;0;0;0;106.83043;53.03781;559436_101hotels
Алтан Хада;9;2200;8.1;8.9;9.3;9.3;0;106.89;52.99115804;559447_101hotels
База отдыха Фрегат;8.6;6165;8.7;9.8;8.3;9.3;0;106.84718;53.04615;559451_101hotels
Нина;3.5;1400;4.4;6.6;3.4;4.9;0;106.88076;53.016508;609230_101hotels
Базарка на малом море Байкала;0;2700;0;0;0;0;0;106.88216;53.01565;609234_101hotels
Байкал Miami гостевой дом;7.5;3600;7.6;9.1;8.1;7.6;0;106.88028;53.01367;609244_101hotels
Дом с видом на Байкал;0;3440;0;0;0;0;0;106.88216;53.01565;609253_101hotels
